siRNA,mRNA,efficacy
S1,NM_001530.4,0.33
S2,NM_001530.4,0.68
S3,NM_001530.4,0.56
S4,NM_001530.4,0.91
S5,NM_001530.4,0.73
S6,NM_001530.4,0.85
S7,NM_001530.4,0.89
S8,NM_001530.4,0.84
S9,NM_001530.4,0.69
S10,NM_001530.4,0.14
S11,NM_001530.4,0.75
S12,NM_001530.4,0.85
S13,NM_001530.4,0.9
S14,NM_001530.4,0.86
S15,NM_001530.4,0.77
S16,NM_001530.4,0.89
S17,NM_001530.4,0.82
S18,NM_001530.4,0.77
S19,NM_001530.4,0.82
S20,NM_001530.4,0.55
S21,NM_001530.4,0.89
S22,NM_001530.4,0.9
S23,NM_001530.4,0.9
S24,NM_001530.4,0.63
S25,NM_001530.4,0.39
S26,NM_001530.4,0.92
S27,NM_001530.4,0.89
S28,NM_001530.4,0.91
S29,NM_001530.4,0.84
S30,NM_001530.4,0.23
S31,NM_001530.4,0.87
S32,NM_001530.4,0.85
S33,NM_001530.4,0.91
S34,NM_001530.4,0.63
S35,NM_001530.4,0.89
S36,NM_001530.4,0.58
S37,NM_001530.4,0.88
S38,NM_001530.4,0.89
S39,NM_001530.4,0.17
S40,NM_001530.4,0.87
S41,NM_001530.4,0.8
S42,NM_001530.4,0.86
S43,NM_001530.4,0.9
S44,NM_001530.4,0.83
S45,NM_001530.4,0.87
S46,NM_001530.4,0.85
S47,NM_001530.4,0.9
S48,NM_001530.4,0.8
S49,NM_001530.4,0.9
S50,NM_001530.4,0.9
S51,NM_001530.4,0.53
S52,NM_001530.4,0.81
S53,NM_001530.4,0.84
S54,NM_001530.4,0.84
S55,NM_001530.4,0.89
S56,NM_001530.4,0.81
S57,NM_001530.4,0.89
S58,NM_001530.4,0.31
S59,NM_001530.4,0.88
S60,NM_001530.4,0.28
S61,NM_001530.4,0.81
S62,NM_001530.4,0.9
S63,NM_001530.4,0.84
S64,NM_001530.4,0.4
S65,NM_001530.4,0.52
S66,NM_001530.4,0.89
S67,NM_001530.4,0.89
S68,NM_001530.4,0.89
S69,NM_001530.4,0.81
S70,NM_001530.4,0.86
S71,NM_001530.4,0.87
S72,NM_001530.4,0.83
S73,NM_001530.4,0.92
S74,NM_001530.4,0.8
S75,NM_001530.4,0.87
S76,NM_001530.4,0.89
S77,NM_001530.4,0.88
S78,NM_001530.4,0.91
S79,NM_001530.4,0.91
S80,NM_001530.4,0.91
S81,NM_001530.4,0.93
S82,NM_001530.4,0.84
S83,NM_001530.4,0.6
S84,NM_001530.4,0.92
S85,NM_001530.4,0.75
S86,NM_001530.4,0.89
S87,NM_001530.4,0.92
S88,NM_001530.4,0.9
S89,NM_001530.4,0.89
S90,NM_001530.4,0.58
S91,NM_001530.4,0.83
S92,NM_001530.4,0.88
S93,NM_001530.4,0.85
S94,NM_001530.4,0.93
S95,NM_001530.4,0.92
S96,NM_001530.4,0.87
S97,NM_001530.4,0.87
S98,NM_001530.4,0.9
S99,NM_001530.4,0.9
S100,NM_001530.4,0.38
S101,NM_000189.5,0.51
S102,NM_000189.5,0.83
S104,NM_000189.5,0.89
S105,NM_000189.5,0.88
S106,NM_000189.5,0.63
S107,NM_000189.5,0.81
S108,NM_000189.5,0.69
S110,NM_000189.5,0.92
S111,NM_000189.5,0.84
S112,NM_000189.5,0.72
S113,NM_000189.5,0.77
S114,NM_000189.5,0.71
S115,NM_000189.5,0.88
S116,NM_000189.5,0.75
S117,NM_000189.5,0.85
S118,NM_000189.5,0.82
S119,NM_000189.5,0.54
S120,NM_000189.5,0.86
S121,NM_000189.5,0.8
S122,NM_000189.5,0.76
S123,NM_000189.5,0.84
S124,NM_000189.5,0.74
S125,NM_000189.5,0.81
S126,NM_000189.5,0.56
S127,NM_000189.5,0.05
S128,NM_000189.5,0.26
S129,NM_000189.5,0.73
S130,NM_000189.5,0.85
S131,NM_000189.5,0.69
S132,NM_000189.5,0.76
S134,NM_000189.5,0.77
S135,NM_000189.5,0.82
S136,NM_000189.5,0.76
S137,NM_000189.5,0.77
S138,NM_000189.5,0.52
S139,NM_000189.5,0.9
S140,NM_000189.5,0.75
S141,NM_000189.5,0.79
S142,NM_000189.5,0.89
S143,NM_000189.5,0.55
S144,NM_000189.5,0.62
S145,NM_000189.5,0.89
S146,NM_000189.5,0.88
S147,NM_000189.5,0.88
S148,NM_000189.5,0.86
S149,NM_000189.5,0.83
S150,NM_000189.5,0.39
S151,NM_000189.5,0.67
S152,NM_000189.5,0.96
S153,NM_000189.5,0.86
S154,NM_000189.5,0.84
S155,NM_000189.5,0.88
S156,NM_000189.5,0.75
S157,NM_000189.5,0.54
S158,NM_000189.5,0.72
S159,NM_000189.5,0.85
S160,NM_000189.5,0.87
S161,NM_000189.5,0.84
S162,NM_000189.5,0.7
S163,NM_000189.5,0.78
S164,NM_000189.5,0.72
S165,NM_000189.5,0.81
S166,NM_000189.5,0.85
S167,NM_000189.5,0.7
S168,NM_000189.5,0.8
S169,NM_000189.5,0.59
S171,NM_000189.5,0.79
S172,NM_000189.5,0.83
S173,NM_000189.5,0.8
S174,NM_000189.5,0.74
S175,NM_000189.5,0.86
S176,NM_000189.5,0.85
S177,NM_000189.5,0.79
S178,NM_000189.5,0.76
S179,NM_000189.5,0.77
S180,NM_000189.5,0.77
S181,NM_000189.5,0.89
S182,NM_000189.5,0.94
S183,NM_000189.5,0.49
S184,NM_000189.5,0.55
S185,NM_000189.5,0.43
S186,NM_000189.5,0.82
S187,NM_000189.5,0.74
S188,NM_000189.5,0.88
S189,NM_000189.5,0.72
S190,NM_000189.5,0.87
S191,NM_000189.5,0.44
S192,NM_000189.5,0.85
S193,NM_000189.5,0.94
S194,NM_000189.5,0.61
S195,NM_000189.5,0.53
S196,NM_000189.5,0.65
S197,NM_000189.5,0.78
S198,NM_000189.5,0.88
S199,NM_000189.5,0.84
S200,NM_001098540.3,0.94
S201,NM_001098540.3,0.81
S202,NM_001098540.3,0.95
S203,NM_001098540.3,0.91
S204,NM_001098540.3,0.92
S205,NM_001098540.3,0.46
S206,NM_001098540.3,0.72
S207,NM_001098540.3,0.94
S208,NM_001098540.3,0.33
S209,NM_001098540.3,0.95
S210,NM_001098540.3,0.87
S211,NM_001098540.3,0.88
S212,NM_001098540.3,0.7
S213,NM_001098540.3,0.97
S214,NM_001098540.3,0.95
S215,NM_001098540.3,0.67
S216,NM_001098540.3,0.48
S218,NM_001098540.3,0.86
S219,NM_001098540.3,0.87
S220,NM_001098540.3,0.52
S221,NM_001098540.3,0.39
S222,NM_001098540.3,0.89
S223,NM_001098540.3,0.66
S224,NM_001098540.3,0.76
S225,NM_001098540.3,0.91
S226,NM_001098540.3,0.42
S227,NM_001098540.3,0.73
S228,NM_001098540.3,0.48
S229,NM_001098540.3,0.89
S230,NM_001098540.3,0.93
S231,NM_001098540.3,0.89
S232,NM_001098540.3,0.87
S233,NM_001098540.3,0.71
S234,NM_001098540.3,0.61
S235,NM_001098540.3,0.84
S236,NM_001098540.3,0.94
S237,NM_001098540.3,0.67
S238,NM_001098540.3,0.43
S239,NM_001098540.3,0.08
S243,NM_001098540.3,0.89
S244,NM_001098540.3,0.73
S245,NM_001098540.3,0.79
S246,NM_001098540.3,0.85
S247,NM_001098540.3,0.42
S248,NM_001098540.3,0.58
S249,NM_001098540.3,0.92
S250,NM_001098540.3,0.85
S251,NM_001098540.3,0.51
S252,NM_001098540.3,0.84
S253,NM_001098540.3,0.93
S254,NM_001098540.3,0.51
S255,NM_001098540.3,0.89
S256,NM_001098540.3,0.93
S257,NM_001098540.3,0.95
S258,NM_001098540.3,0.88
S259,NM_001098540.3,0.93
S260,NM_001098540.3,0.63
S261,NM_001098540.3,0.88
S262,NM_001098540.3,0.87
S263,NM_001098540.3,0.87
S264,NM_001098540.3,0.88
S265,NM_001098540.3,0.9
S266,NM_001098540.3,0.61
S267,NM_001098540.3,0.85
S268,NM_001098540.3,0.55
S269,NM_001098540.3,0.94
S270,NM_001098540.3,0.98
S271,NM_001098540.3,0.94
S272,NM_001098540.3,0.92
S273,NM_001098540.3,0.9
S274,NM_001098540.3,0.86
S275,NM_001098540.3,0.58
S276,NM_001098540.3,0.82
S277,NM_001098540.3,0.56
S278,NM_001098540.3,0.86
S279,NM_001098540.3,0.84
S280,NM_001098540.3,0.87
S281,NM_001098540.3,0.72
S282,NM_001098540.3,0.88
S283,NM_001098540.3,0.33
S284,NM_001098540.3,0.87
S285,NM_001098540.3,0.79
S286,NM_001098540.3,0.57
S287,NM_001098540.3,0.93
S288,NM_001098540.3,0.89
S289,NM_001098540.3,0.71
S290,NM_001098540.3,0.77
S291,NM_001098540.3,0.75
S292,NM_001098540.3,0.9
S293,NM_001098540.3,0.66
S294,NM_001098540.3,0.5
S295,NM_001098540.3,0.86
S296,NM_001098540.3,0.87
S297,NM_001098540.3,0.81
S298,NM_001098540.3,0.89
S299,NM_001098540.3,0.93
S300,NM_001098540.3,0.84
S301,NM_001098540.3,0.63
S302,NM_001098540.3,0.7
S303,NM_001098540.3,0.49
S304,NM_001098540.3,0.85
S305,NM_001098540.3,0.65
S306,NM_001098540.3,0.58
S307,NM_001098540.3,0.84
S308,NM_001098540.3,0.76
S309,NM_001098540.3,0.8
S315,NM_002467.6,0.18
S317,NM_002467.6,0.3
S319,NM_002467.6,0.36
S320,NM_002467.6,0.51
S321,NM_002467.6,0.52
S322,NM_002467.6,0.22
S323,NM_002467.6,0.8
S324,NM_004456.5,0.54
S325,NM_004456.5,0.76
S326,NM_004456.5,0.37
S327,NM_004456.5,0.78
S328,NM_004456.5,0.69
S329,NM_004456.5,0.79
S330,NM_004456.5,0.84
S331,NM_004456.5,0.76
S332,NM_004456.5,0.83
S352,NM_001904.4,0.87
S353,NM_001904.4,0.9
S354,NM_001904.4,0.92
S355,NM_001904.4,0.85
S356,NM_001904.4,0.89
