name,full_name,description
siRNA,siRNA sequence (19 nt),Guide RNA sequence 5'→3' using U (not T)
mRNA,Target site sequence (19 nt),Target mRNA segment complementary to the siRNA
extended_mRNA,Extended target context,Target region including flanking context around the site
efficacy,Knockdown efficacy,Scalar efficacy label for the siRNA–target pair
binary,Binary label,Classification label derived from efficacy
source,Dataset source,Source study or dataset of the interaction
cell_line,Cell line,Experimental cell line used for measurement
ends,End stability difference,5'−3' end ΔG difference with end-type adjustment (kcal/mol)
DH_all,Total enthalpy,Sum of 18 dinucleotide ΔH plus initiation (+3.61) and AU-end bonuses (+3.72 each if end is A or U) in kcal/mol
U_all,U content fraction,Fraction of U bases in siRNA (count/19)
G_all,G content fraction,Fraction of G bases in siRNA (count/19)
GG_all,GG dinucleotide fraction,Fraction of GG dinucleotides across 18 sliding windows (count/18)
GC_all,GC dinucleotide fraction,Fraction of GC dinucleotides across 18 sliding windows (count/18)
CC_all,CC dinucleotide fraction,Fraction of CC dinucleotides across 18 sliding windows (count/18)
UA_all,UA dinucleotide fraction,Fraction of UA dinucleotides across 18 sliding windows (count/18)
UU_all,UU dinucleotide fraction,Fraction of UU dinucleotides across 18 sliding windows (count/18)
single_energy_total,Single-strand total MFE,Minimum free energy of siRNA single-strand folding (kcal/mol)
single_energy_pos*,Single-strand position effects (19 features),Δ contribution when forcing base unpaired via constraint (kcal/mol); positions 1–19 (single_energy_pos1..19)
duplex_energy_total,Duplex total energy,Total duplex formation energy between siRNA and target (kcal/mol)
duplex_energy_sirna_pos*,Duplex siRNA position effects (19 features),Δ contribution when forcing siRNA base unpaired in cofold (kcal/mol); positions 1–19
duplex_energy_target_pos*,Duplex target position effects (19 features),Δ contribution when forcing target base unpaired in cofold (kcal/mol); positions 1–19
RNAup_open_dG,RNAup opening energy,Sum of opening energies for both RNAs (siRNA + target) to make the interaction accessible (kcal/mol)
RNAup_interaction_dG,RNAup interaction energy,Hybridization energy between accessible regions (kcal/mol)
