tool,regime,n,mse,rmse,mae,r2,pcc,val_pcc
Agentomics,standard,690,0.0531,0.2304,0.2011,0.078,0.5464,0.6284
AttSiOff,best_10fold,690,0.0818,0.286,0.2504,-0.4214,0.3933,0.6364
AttSiOff,standard,690,0.0515,0.227,0.1938,0.1048,0.456,0.6276
ENsiRNA,best_10fold,690,0.0533,0.2308,0.1977,0.0743,0.511,0.6402
ENsiRNA,standard,690,0.0524,0.2289,0.1989,0.0898,0.5443,0.6724
GNN4siRNA,best_10fold,690,0.0574,0.2396,0.2047,0.0027,0.393,0.6245
GNN4siRNA,standard,690,0.0519,0.2278,0.189,0.0987,0.4188,0.6413
Oligoformer,best_10fold,690,0.0606,0.2461,0.2153,-0.0522,0.5327,0.6997
Oligoformer,standard,690,0.0544,0.2332,0.2045,0.0556,0.5546,0.6594
TabPFN,standard,690,0.0669,0.2586,0.2325,-0.1618,0.558,0.6222
siRNABERT,best_10fold,690,0.0649,0.2548,0.2271,-0.128,0.4441,0.5786
siRNABERT,standard,690,0.0666,0.2581,0.2298,-0.1571,0.4394,0.5045
siRNADiscovery,best_10fold,690,0.0492,0.2218,0.1855,0.1453,0.4809,0.5862
siRNADiscovery,standard,690,0.0493,0.2221,0.1843,0.1433,0.4828,0.6558
