fold,pcc,spcc,mse,auc
1,0.6383632314610833,0.6410260556513254,0.02166102996882512,0.7882472137791287
2,0.6332031021327524,0.6337540655864865,0.02248392054795189,0.7972001307331953
3,0.5986653243040098,0.600831608837287,0.02331611198316551,0.7776897770196175
4,0.6226261227771663,0.6544186513847188,0.020116705763639286,0.7765356413030412
5,0.7016709926687159,0.7142777053108489,0.01715667145955738,0.7927318295739348
6,0.6232358951705523,0.6185796794076877,0.02154804118788166,0.7976525821596243
7,0.6498586947036754,0.6539094064807531,0.02115370821541594,0.7991611286632531
8,0.6228785306959608,0.6459839135233512,0.02222742387032737,0.7852852852852853
9,0.6301414985889345,0.6284986011032966,0.021343817488333777,0.8142264752791069
10,0.6509112733919659,0.6553939655072674,0.018661900853411715,0.8226013986013986
mean,0.6371554665894816,0.6446673652793022,0.02096693313385096,0.7951331462397586
std,0.025824990242499946,0.02852862540548887,0.0017595245702573424,0.013950648009479386
